technisch	menschlich
kompliziert	einfach
unpraktisch	praktisch
umständlich	direkt
unberechenbar	voraussagbar
verwirrend	übersichtlich
widerspenstig	handhabbar
isolierend	verbindend
laienhaft	fachmännisch
stillos	stilvoll
minderwertig	wertvoll
ausgrenzend	einbeziehend
trennt mich von Leuten	bringt näher
nicht vorzeigbar	vorzeigbar
konventionell	originell
phantasielos	kreativ
vorsichtig	mutig
konservativ	innovativ
lahm	fesselnd
harmlos	herausfordernd
herkömmlich	neuartig
unangenehm	angenehm
hässlich	schön
unsympathisch	sympatisch
zurückweisend	einladend
schlecht	gut
abstoßend	anziehend
entmutigend	motivierend
